"id","open_date","name","location","lat","lon","threat","tags","commodity","measure_skim","measure_shore","measure_bio","measure_disperse","measure_burn","max_ptl_release_gallons","posts","description"
9420,"2017-01-10","Kaktovik Storage Tank","Kaktovik, AK",70.126559,-143.618159,"Oil","","DIESEL",NA,NA,NA,NA,NA,4000,0,"On January 9, 2017, the Kaktovik Alaska Public Works Department reported that their 5000 gallon oil storage tank was empty. It is estimated that >4000 gallons of diesel leaked from the tank via a broken pipe. This is believed to have occurred sometime in the last two weeks.  The storage tank is located 1/4 mile from Kaktovik Lagoon.  The extent of fuel migration is currently unknown."
9415,"2017-01-03","Custom Fuel Service Diesel Spill","1169-1181 LA-44, Reserve, LA 70084, USA",30.04706667,-90.54140556,"Other","","DIESEL FUEL",1,NA,NA,NA,NA,500,0,"On January 3, 2017, the USCG Sector New Orleans contacted the NOAA Regional Response Officer regarding a 500 gallon diesel spill that occurred on January 2 during a fuel transfer from a barge at Mississippi River mile marker 137 . The USCG reported that the diesel has been contained.  USCG determined the cause was the bursting of a 3"" fuel line"
9413,"2016-12-10","M/V Olympic","Apple Tree Cove",47.79,-122.49,"Oil","","DIESEL",NA,NA,NA,NA,NA,200,0,"On December 10, 2016, the USCG notified the NW SSC of a 51 ft recreational vessel that broke free from anchorage and drifted towards shore, grounding and overturning in 12 ft of water near Kingston, WA.  The  owner estimates is that there was 200 gallons diesel on board.  Contractor planning to remove fuel in place, owner to salvage."
9412,"2016-12-09","Richmond Yacht Basin Fire, Richmond, Virginia","9998 Arrahatteck Trail, Henrico, VA 23231, USA",37.39383333,-77.36705556,"Oil","","DIESEL FUEL AND GASOLINE",NA,NA,NA,NA,NA,NA,0,"On December 9, 2016, the USCG Sector Hampton Roads notified the NOAA SSC that there was a fire at the Richmond Yacht Basin Marine, Richmond, VA. Several dozen recreational boats, adjacent docks and piers were engulfed in flames. Sheen was observed in the James River. USCG on-scene. USCG requested technical support. tides and weather."
9410,"2016-12-07","F/V Exito","Unalaska, Alaska",54.07833333,-166.33983333,"Oil","","DIESEL",NA,NA,NA,NA,NA,5000,0,"On December 7, 2016,  NOAA was notified of a sinking vessel 4 miles off Priest Rock, outside of Dutch Harbor, AK.  The USCG requested a trajectory for a 5,000 gallon diesel spill."
9408,"2016-12-03","Associated Terminals: Diesel Discharge","Mississippi River ~MM89, New Orleans, LA 70131, USA",30.050314,-90.545132,"Other","","DIESEL FUEL",NA,NA,NA,NA,NA,3000,0,"On December 3, 2016, the USCG Sector New Orleans contacted the NOAA RRO in order to give notice of a 300gal diesel discharge that happened at Mississippi River MM89.  The discharge occurred during fuel transfer."
9406,"2016-11-27","Tyonek Platform Potential","Tyonek, AK",61.076425,-150.950758,"Oil","","DIESEL",NA,NA,NA,NA,NA,69000,1,"On November 27, 2016, , the SSC was notified by USCG MSD Homer of a potential incident at Tyonek Oil Drilling Platform.  It was discovered that diesel fuel had migrated into and is trapped within one of the support legs of the Tyonek Platform. MSD Homer is requesting a fates analysis and trajectory, resources at risk and ESA section 7 consultation for a potential release into Cook Inlet."
9403,"2016-11-22","Barge DBL 185","Off Port Orford, OR",43.10566667,-125.66816667,"Oil","","DIESEL, GASOLINE, REFINED CLEANING PRODUCTS",NA,NA,NA,NA,NA,7560000,0,"On November 22, 2016, the USCG Sector Columbia River notified NOAA that the tug towing the 120-foot long barge DBL 185 lost propulsion approximately 50 nm west of Port Orford, OR. The barge is drifting NNW and is reported to be carrying 180,000 gallons of diesel, gasoline and refined cleaning products.  A trajectory forecast in the event of release from the barge was requested."
9405,"2016-11-22","WW-II Landing Craft","Rio Vista, CA",38.1428093641,-121.693304815,"Oil","","DIESEL",NA,NA,NA,NA,NA,220,0,"On November 22, 2016, a WWII-era landing craft (aka “LCM”) carrying a tractor was taking on water and sinking in the vicinity of the USCG Boat Station Rio Vista on the Sacramento River.  The LCM is estimated to have 120 gallons of red-dye marine diesel on board at the time of sinking and was seen actively leaking this afternoon.  The tractor is believed to have 100 gallons of diesel on-board and is not known to be leaking at this time.   USCG Sector San Francisco contacted their NOAA SSC to request fate & trajectory information in advance of a first-light shoreline assessment."
9401,"2016-11-20","F/V CAPT Jeff","12 Saltmarsh Rd, Fairhaven, MA 02719, USA",41.5599767726,-70.8769226074,"Oil","","DIESEL",NA,NA,NA,NA,NA,4000,0,"On November 20, 2016, the USCG Sector SENE was notified by the F/V Capt. Jeff that she was taking on water off New Bedford Harbor, MA.  She is carrying 4,000 gallons of diesel fuel.  The USCG contacted the NOAA SSC for support on oil fate and transport and resources at risk."
9400,"2016-11-19","M/V Nenita, Columbia River, WA","Columbia River Mile 30, WA",46.26733333,-123.51566667,"Oil","","MARINE DIESEL AND HIGH-SULFUR FUEL OIL",NA,NA,NA,NA,NA,300000,0,"On November 19, 2016, the USCG Sector Columbia River was notified that the M/V Nenita, a 738-foot bulk carrier laden with grain, had run aground in the Columbia River at river mile 30 (near Brookfield, WA) while outbound.   The vessel is carrying 300,000 gallons of marine diesel and high-sulfur fuel oil.  The vessel's hull was breached but no fuel was released.  Two tugs assisted with stabilizing and turning the vessel for transit to Kalama.  Spill response equipment is on-scene and standing by in the event of a fuel release."
