"id","open_date","name","location","lat","lon","threat","tags","commodity","measure_skim","measure_shore","measure_bio","measure_disperse","measure_burn","max_ptl_release_gallons","posts","description"
9415,"2017-01-03","Custom Fuel Service Diesel Spill","1169-1181 LA-44, Reserve, LA 70084, USA",30.04706667,-90.54140556,"Other","","DIESEL FUEL",1,NA,NA,NA,NA,500,0,"On January 3, 2017, the USCG Sector New Orleans contacted the NOAA Regional Response Officer regarding a 500 gallon diesel spill that occurred on January 2 during a fuel transfer from a barge at Mississippi River mile marker 137 . The USCG reported that the diesel has been contained.  USCG determined the cause was the bursting of a 3"" fuel line"
9412,"2016-12-09","Richmond Yacht Basin Fire, Richmond, Virginia","9998 Arrahatteck Trail, Henrico, VA 23231, USA",37.39383333,-77.36705556,"Oil","","DIESEL FUEL AND GASOLINE",NA,NA,NA,NA,NA,NA,0,"On December 9, 2016, the USCG Sector Hampton Roads notified the NOAA SSC that there was a fire at the Richmond Yacht Basin Marine, Richmond, VA. Several dozen recreational boats, adjacent docks and piers were engulfed in flames. Sheen was observed in the James River. USCG on-scene. USCG requested technical support. tides and weather."
9408,"2016-12-03","Associated Terminals: Diesel Discharge","Mississippi River ~MM89, New Orleans, LA 70131, USA",30.050314,-90.545132,"Other","","DIESEL FUEL",NA,NA,NA,NA,NA,3000,0,"On December 3, 2016, the USCG Sector New Orleans contacted the NOAA RRO in order to give notice of a 300gal diesel discharge that happened at Mississippi River MM89.  The discharge occurred during fuel transfer."
9400,"2016-11-19","M/V Nenita, Columbia River, WA","Columbia River Mile 30, WA",46.26733333,-123.51566667,"Oil","","MARINE DIESEL AND HIGH-SULFUR FUEL OIL",NA,NA,NA,NA,NA,300000,0,"On November 19, 2016, the USCG Sector Columbia River was notified that the M/V Nenita, a 738-foot bulk carrier laden with grain, had run aground in the Columbia River at river mile 30 (near Brookfield, WA) while outbound.   The vessel is carrying 300,000 gallons of marine diesel and high-sulfur fuel oil.  The vessel's hull was breached but no fuel was released.  Two tugs assisted with stabilizing and turning the vessel for transit to Kalama.  Spill response equipment is on-scene and standing by in the event of a fuel release."
9398,"2016-11-18","Tank Truck Jet Fuel Spill","Point Mugu, CA",34.1118045556,-119.082183838,"Oil","","JET FUEL JP8",1,1,0,0,0,1500,3,"On Friday morning, November 18, 2016, a mobile tank truck overturned near the entrance to the Point Mugu Naval Air Station and released approximately 1,500 gallons of JP8 jet fuel onto the pavement and into a nearby creek."
9395,"2016-11-17","Jack-Up Barge Grounding","Nome, AK",64.496,-165.439,"Oil","","DIESEL FUEL AND HYDRAULIC OIL",NA,NA,NA,NA,NA,350,0,"On 16-Nov-2016, a jack-up barge broke from its moorings in heavy weather.  An excavator, that was on the barge, went overboard in 20 feet of water with approximately 150 gallons of hydraulic oil in the tank. The barge grounded on the outer harbor jetty and is in danger of breaking apart in heavy surf.  There is a fuel tank strapped to the deck containing 200 gallons of diesel.  The USCG has requested a spot forecast."
9390,"2016-11-07","T/V Newlead Granadino","Monkton, MD 21111, USA",39.22666,-76.5459,"Oil","","RESIDUAL ASPHALT IN TANKS, 15-55 GALLON DRUMS WASTE OIL, 34,000 GALLONS DIESEL FUEL, AND 3,100 GALLONS LUBE OIL",NA,NA,NA,NA,NA,3100,0,"On 7 November 2016, USCG Sector Maryland contacted the NOAA SSC for the T/V Newlead Granadino that is currently immobile in Baltimore Anchorage, Maryland. Vessel has waste oil, residual asphalt, diesel fuel, and sludge on board. USCG requesting trajectories, resources at risk."
9359,"2016-09-06","T/V Aframax River","Harris County, TX, USA",29.75,-95.096667,"Oil","","MARINE GRADE DIESEL FUEL",NA,NA,NA,NA,NA,NA,0,"At approximately midnight on Sept, 5, 2016, the T/V Aframax River, caught fire when departing a cargo facility on Buffalo Bayou, Houston Ship Channel, Houston.  The fire was extinguished in about an hour, but the vessel discharged marine grade diesel fuel into the water.  Estimate of potential discharge was 80,000 gallons, with considerable uncertainty as to amount consumed by the fire.  Fate and trajectory assistance were requested from the NOAA SSC."
9358,"2016-09-05","F/V Lady Lillian, Westport, WA","Westport, WA",46.90235,-124.1019056,"Oil","","DIESEL FUEL",NA,NA,NA,NA,NA,NA,0,"On September 4, 2016, the USCG Sector Columbia River notified the NOAA SSC for the Northwest that a 77-foot fishing vessel at the Westport Marine in Westport, WA.  The vessel is reported to be carrying 1000 gallons of diesel and 10 gallons of lube oil.  Currently, the vessel is not actively discharging.  USCG plans to deploy boom around the vessel and remove the fuel."
9297,"2016-06-14","F/V Michelle Dawn","1.5 miles SSW Mexico Beach, FL",29.92929,-85.43607,"Oil","","MARINE DIESEL FUEL",NA,NA,NA,NA,NA,200,0,"On June 14, 2016, the NOAA SSC was notified by the USCG in Panama City, Florida  regarding a 50 ft commercial fishing vessel that reportedly sank off Mexico Beach on evening of 13 JUN 2016 with approx. 200 gallons of marine diesel on board. No one on board the vessel. MSD is working on fuel removal plan with OSRO. No report of sheen. Vessel is overturned. MSD is requesting trajectory analysis."
