"id","open_date","name","location","lat","lon","threat","tags","commodity","measure_skim","measure_shore","measure_bio","measure_disperse","measure_burn","max_ptl_release_gallons","posts","description"
9414,"2016-12-12","Ash Coulee Creek Spill","21st St S W, Medora, ND 58645, USA",47.1056,-103.3694,"Oil","Pipeline","CRUDE OIL",NA,NA,NA,NA,1,NA,0,"NOAA RRT8 rep received notification of the Ash Coulee Creek oil spill in western North Dakota. No request for support.  On 15 DEC, RRT notified of an insitu burn to be conducted on site. Initiating hotline as a placeholder for information on the case due to use of ISB inland and capturing any lessons learned."
9402,"2016-11-21","Main Pass 35 Mystery Sheen","Unnamed Road, Buras, LA 70041, USA",29.45944444,-89.41388889,"Oil","","OIL, CRUDE",NA,NA,NA,NA,NA,NA,0,"On November 21, 2016, the USCG Sector New Orleans notified NOAA about a reported 2mi x 2000ft silvery sheen.  The mystery sheen was observed at 0820 from an unknown source and was reported to be headed south ."
9385,"2016-10-28","Main Pass 61","St Bernard Parish, LA, USA",29.97333333,-89.22833333,"Oil","","OIL, CRUDE",NA,NA,NA,NA,NA,49,0,"On October 28, 2016, the USCG Sector New Orleans contacted NOAA ERD regarding an estimated 49 gallon discharge of crude oil from a platform located in Main Pass 61 creating a 1.5mi x 0.5 mi rainbow sheen due to an equipment malfunction.  The platform has been shut-in.  The rainbow sheen is dissipating."
9375,"2016-10-11","Grounded Barges Hatteras Island, NC","Hatteras, NC, USA",35.2456190942,-75.5557250977,"Oil","","OIL",NA,NA,NA,NA,NA,500,1,"On 11 October, 2016 at 0800 hours, USCG Sector North Carolina notified the NOAA SSC about two grounded barges on Hatteras Island, North Carolina. In total the two barges contain approximately 500 gallons of diesel fuel and 400 gallons of hydraulic fluid. Barges broke free from their moorings as a result of Hurricane Matthew. No pollution has occurred. USCG has not requested any products or services at this time."
9373,"2016-10-03","West Bay Abandoned Flowline","9, LA, USA",29.10888889,-89.37305556,"Oil","","OIL (LA SWEET)",1,NA,NA,NA,NA,42,0,"On October 3, 2016, the USCG contacted NOAA regarding a discharge of a reported 1bbl of crude oil in the West Delta.  The discharge occurred when the company pressured the line during a scheduled flushing operation to eliminate potential threat from abandoned legacy lines within the company's field. The company deployed 200' absorbent boom containing 0.5BBL of recoverable oil, secured the line and deployed divers to identify and clamp the source. An over-flight was conducted by the company and reported no recoverable oil outside containment.  The USCG requested a trajectory model of the discharged oil."
9371,"2016-10-02","Mystery sheen","Grand Isle, LA",29.06444444,-90.12972222,"Oil","","UNKNOWN OIL",NA,NA,NA,NA,NA,153,0,"On October 2, 2016, the USCG contacted NOAA in order to obtain a trajectory for a mystery sheen reported to the National Response Center (NRC) by Chevron in the vicinity of Grand Isle, LA.   The sheen was reported to have approximate dimensions of 7 miles long by 1 mile wide."
9357,"2016-09-05","Bay Long Pipeline","Barataria Bay, Louisiana",29.31861,-89.81417,"Oil","","SOUTH LOUISIANA CRUDE OIL",NA,NA,NA,NA,NA,5250,5,"At 0850 CDT on September 5, 2016, a dredge struck an underwater pipeline in Bay Long, a sub-estuary of Barataria Bay, discharging a reported 10 bbls of crude.  Type of crude not specified, assumed to be South Louisiana.  Pipeline has been shut in, OSROs en-route, and Sector New Orleans is sending pollution responders.  Trajectory and resources at risk requested."
9332,"2016-08-03","Timbalier Bay mystery sheen","Timbalier Bay, LA",29.1122222222,-90.2975,"Oil","","UNKNOWN/RAINBOW POTENTIALLY OIL",NA,NA,NA,NA,NA,NA,0,"On August 3, 2016, NOAA was contacted by USCG MSU Houma regarding a 1.5mi x 0.5mi rainbow sheen reported at 0830CDT.  A trajectory and resources at risk was requested.  Source unknown, commodity of concern unknown."
9331,"2016-08-02","TPIC Wellhead Leak","Main Pass 35 Block, Offshore LA",29.4511111111,-89.4033333333,"Oil","","LOUSIANA CRUDE OIL/NATURAL GAS",NA,NA,NA,NA,NA,4200,0,"On August 2, 2016, USCG Sector New Orleans notified the NOAA SSC of a 50-100 barrel leak of Louisiana crude oil and natural gas from Texas Petroleum Investment Company (TPIC) well #24 in Main Pass Block 35. Wild Well has been activated, and OSROs are responding. Trajectory requested."
9329,"2016-07-28","Chevron Platform Discharge","South Marsh Island Block 223, Offshore of Louisiana",29.4075,-91.9980555556,"Oil","","SOUTH LOUISIANA CRUDE OIL, PRODUCED WATER",NA,NA,NA,NA,NA,11,0,"On July 28, 2016, USCG MSU Morgan City notified the NOAA SSC of an approximately 12 gallon discharge of produced water and crude oil from the Chevron Platform in South Marsh Island Block 223, approximately 9 miles offshore of Marsh Island Refuge and requested an assessment as to the potential for shoreline oiling.  Given amount and type of product released, distance to shore, and environmental conditions, no shoreline oiling was anticipated.  No additional products requested. "
